Start,End,Open,High,Low,Close,Volume,Market
11/24/2012,11/25/2012,12.4115,12.4115,12.4115,12.4115,0,0
11/23/2012,11/24/2012,12.345,12.345,12.345,12.345,0,0
11/22/2012,11/23/2012,12.4219,12.4219,12.4219,12.4219,0,0
11/21/2012,11/22/2012,11.77,11.77,11.77,11.77,0,0
11/20/2012,11/21/2012,11.7328,11.7328,11.7328,11.7328,0,0
11/19/2012,11/20/2012,11.7999,11.7999,11.7999,11.7999,0,0
11/18/2012,11/19/2012,11.6515,11.6515,11.6515,11.6515,0,0
11/17/2012,11/18/2012,11.7889,11.7889,11.7889,11.7889,0,0
11/16/2012,11/17/2012,11.7489,11.7489,11.7489,11.7489,0,0
11/15/2012,11/16/2012,11.1977,11.1977,11.1977,11.1977,0,0
11/14/2012,11/15/2012,10.95,10.95,10.95,10.95,0,0
11/13/2012,11/14/2012,10.9512,10.9512,10.9512,10.9512,0,0
11/12/2012,11/13/2012,11.008,11.008,11.008,11.008,0,0
11/11/2012,11/12/2012,10.8687,10.8687,10.8687,10.8687,0,0
11/10/2012,11/11/2012,10.89,10.89,10.89,10.89,0,0
11/9/2012,11/10/2012,10.815,10.815,10.815,10.815,0,0
11/8/2012,11/9/2012,10.925,10.925,10.925,10.925,0,0
11/7/2012,11/8/2012,10.92,10.92,10.92,10.92,0,0
11/6/2012,11/7/2012,10.899,10.899,10.899,10.899,0,0
11/5/2012,11/6/2012,10.748,10.748,10.748,10.748,0,0
11/4/2012,11/5/2012,10.8001,10.8001,10.8001,10.8001,0,0
11/3/2012,11/4/2012,10.6425,10.6425,10.6425,10.6425,0,0
11/2/2012,11/3/2012,10.4688,10.4688,10.4688,10.4688,0,0
11/1/2012,11/2/2012,10.57,10.57,10.57,10.57,0,0
10/31/2012,11/1/2012,11.201,11.201,11.201,11.201,0,0
10/30/2012,10/31/2012,10.8875,10.8875,10.8875,10.8875,0,0
10/29/2012,10/30/2012,10.6,10.6,10.6,10.6,0,0
10/28/2012,10/29/2012,10.7,10.7,10.7,10.7,0,0
10/27/2012,10/28/2012,10.2605,10.2605,10.2605,10.2605,0,0
10/26/2012,10/27/2012,10.1706,10.1706,10.1706,10.1706,0,0
10/25/2012,10/26/2012,10.8616,10.8616,10.8616,10.8616,0,0
10/24/2012,10/25/2012,11.65,11.65,11.65,11.65,0,0
10/23/2012,10/24/2012,11.65,11.65,11.65,11.65,0,0
10/22/2012,10/23/2012,11.7101,11.7101,11.7101,11.7101,0,0
10/21/2012,10/22/2012,11.6311,11.6311,11.6311,11.6311,0,0
10/20/2012,10/21/2012,11.7399,11.7399,11.7399,11.7399,0,0
10/19/2012,10/20/2012,11.7401,11.7401,11.7401,11.7401,0,0
10/18/2012,10/19/2012,11.9398,11.9398,11.9398,11.9398,0,0
10/17/2012,10/18/2012,11.81,11.81,11.81,11.81,0,0
10/16/2012,10/17/2012,11.8499,11.8499,11.8499,11.8499,0,0
10/15/2012,10/16/2012,11.8381,11.8381,11.8381,11.8381,0,0
10/14/2012,10/15/2012,11.7389,11.7389,11.7389,11.7389,0,0
10/13/2012,10/14/2012,11.861,11.861,11.861,11.861,0,0
10/12/2012,10/13/2012,12,12,12,12,0,0
10/11/2012,10/12/2012,12.03,12.03,12.03,12.03,0,0
10/10/2012,10/11/2012,12.12,12.12,12.12,12.12,0,0
10/9/2012,10/10/2012,11.895,11.895,11.895,11.895,0,0
10/8/2012,10/9/2012,11.7781,11.7781,11.7781,11.7781,0,0
10/7/2012,10/8/2012,11.8,11.8,11.8,11.8,0,0
10/6/2012,10/7/2012,12.505,12.505,12.505,12.505,0,0
10/5/2012,10/6/2012,12.688,12.688,12.688,12.688,0,0
10/4/2012,10/5/2012,12.85,12.85,12.85,12.85,0,0
10/3/2012,10/4/2012,12.89,12.89,12.89,12.89,0,0
10/2/2012,10/3/2012,12.84,12.84,12.84,12.84,0,0
10/1/2012,10/2/2012,12.4,12.4,12.4,12.4,0,0
9/30/2012,10/1/2012,12.4,12.4,12.4,12.4,0,0
9/29/2012,9/30/2012,12.3631,12.3631,12.3631,12.3631,0,0
9/28/2012,9/29/2012,12.391,12.391,12.391,12.391,0,0
9/27/2012,9/28/2012,12.3089,12.3089,12.3089,12.3089,0,0
9/26/2012,9/27/2012,12.27,12.27,12.27,12.27,0,0
9/25/2012,9/26/2012,12.197,12.197,12.197,12.197,0,0
